date,marketcap,price
5/1/2013,1542820000,139
5/2/2013,1292190000,116.38
5/3/2013,1180070000,106.25
5/4/2013,1089890000,98.1
5/5/2013,1254760000,112.9
5/6/2013,1289470000,115.98
5/7/2013,1248470000,112.25
5/8/2013,1219450000,109.6
5/9/2013,1259980000,113.2
5/10/2013,1255970000,112.8
5/11/2013,1311050000,117.7
5/12/2013,1288630000,115.64
5/13/2013,1279980000,114.82
5/14/2013,1315720000,117.98
5/15/2013,1242760000,111.4
5/16/2013,1274620000,114.22
5/17/2013,1319590000,118.21
5/18/2013,1379140000,123.5
5/19/2013,1376370000,123.21
5/20/2013,1368910000,122.5
5/21/2013,1363940000,122.02
5/22/2013,1374130000,122.89
5/23/2013,1384780000,123.8
5/24/2013,1413300000,126.3
5/25/2013,1489950000,133.1
5/26/2013,1478030000,131.99
5/27/2013,1495520000,133.5
5/28/2013,1454310000,129.77
5/29/2013,1446190000,129
5/30/2013,1483180000,132.25
5/31/2013,1445050000,128.8
6/1/2013,1445800000,128.81
6/2/2013,1451930000,129.3
6/3/2013,1376180000,122.5
6/4/2013,1357020000,120.74
6/5/2013,1365110000,121.4
6/6/2013,1371300000,121.9
6/7/2013,1338880000,118.97
6/8/2013,1249630000,111
6/9/2013,1215130000,107.89
6/10/2013,1131570000,100.44
6/11/2013,1198640000,106.35
6/12/2013,1229000000,109
6/13/2013,1227030000,108.78
6/14/2013,1173060000,103.95
6/15/2013,1128950000,100
6/16/2013,1127120000,99.8
6/17/2013,1128720000,99.9
6/18/2013,1152250000,101.95
6/19/2013,1210260000,107.05
6/20/2013,1224210000,108.25
6/21/2013,1259000000,111.29
6/22/2013,1239210000,109.5
6/23/2013,1224980000,108.2
6/24/2013,1222030000,107.9
6/25/2013,1156610000,102.09
6/26/2013,1171050000,103.33
6/27/2013,1179110000,104
6/28/2013,1153880000,101.74
6/29/2013,1074010000,94.66
6/30/2013,1078260000,95
7/1/2013,1107130000,97.51
7/2/2013,1000070000,88.05
7/3/2013,1027160000,90.41
7/4/2013,896693000,78.89
7/5/2013,909526000,79.99
7/6/2013,779255000,68.5
7/7/2013,782352000,68.75
7/8/2013,870912000,76.5
7/9/2013,865585000,76
7/10/2013,874138000,76.72
7/11/2013,1003090000,88
7/12/2013,1014640000,88.98
7/13/2013,1072140000,93.99
7/14/2013,1126260000,98.7
7/15/2013,1068520000,93.61
7/16/2013,1129260000,98.89
7/17/2013,1104760000,96.71
7/18/2013,1125660000,98.5
7/19/2013,1029670000,90.07
7/20/2013,1052140000,92
7/21/2013,1027640000,89.82
7/22/2013,1053000000,92
7/23/2013,1048820000,91.6
7/24/2013,1094490000,95.56
7/25/2013,1082800000,94.5
7/26/2013,1111160000,96.95
7/27/2013,1100900000,96.02
7/28/2013,1082750000,94.4
7/29/2013,1131340000,98.6
7/30/2013,1164940000,101.49
7/31/2013,1239630000,107.95
8/1/2013,1220190000,106.21
8/2/2013,1205070000,104.86
8/3/2013,1201490000,104.5
8/4/2013,1207100000,104.95
8/5/2013,1209520000,105.12
8/6/2013,1228440000,106.72
8/7/2013,1229100000,106.75
8/8/2013,1229100000,106.75
8/9/2013,1187920000,103.07
8/10/2013,1185310000,102.8
8/11/2013,1188150000,103
8/12/2013,1211790000,105
8/13/2013,1235340000,106.99
8/14/2013,1265450000,109.56
8/15/2013,1300660000,112.56
8/16/2013,1271470000,110
8/17/2013,1260350000,108.99
8/18/2013,1304320000,112.75
8/19/2013,1312160000,113.38
8/20/2013,1377730000,119
8/21/2013,1403890000,121.21
8/22/2013,1428700000,123.3
8/23/2013,1414290000,122
8/24/2013,1374420000,118.51
8/25/2013,1387640000,119.6
8/26/2013,1417200000,122.11
8/27/2013,1394010000,120.07
8/28/2013,1468960000,126.48
8/29/2013,1424680000,122.62
8/30/2013,1422120000,122.35
