date,price
7/1/2010,0.09
8/1/2010,0.06
9/1/2010,0.06
10/1/2010,0.06
11/1/2010,0.20
12/1/2010,0.23
1/1/2011,0.30
2/1/2011,0.70
3/1/2011,0.92
4/1/2011,0.77
5/1/2011,3.03
6/1/2011,9.57
7/1/2011,15.40
8/1/2011,13.09
9/1/2011,8.21
10/1/2011,5.03
11/1/2011,3.15
12/1/2011,3.06
1/1/2012,5.27
2/1/2012,6.08
3/1/2012,4.92
4/1/2012,4.83
5/1/2012,0.17
6/1/2012,5.27
7/1/2012,6.63
8/1/2012,9.55
9/1/2012,9.97
10/1/2012,12.40
11/1/2012,10.57
12/1/2012,12.56
1/1/2013,13.30
2/1/2013,20.50
3/1/2013,34.50
4/1/2013,104
4/28/2013,135.3
4/29/2013,134.44
4/30/2013,144
5/1/2013,139
5/2/2013,116.38
5/3/2013,106.25
5/4/2013,98.1
5/5/2013,112.9
5/6/2013,115.98
5/7/2013,112.25
5/8/2013,109.6
5/9/2013,113.2
5/10/2013,112.8
5/11/2013,117.7
5/12/2013,115.64
5/13/2013,114.82
5/14/2013,117.98
5/15/2013,111.4
5/16/2013,114.22
5/17/2013,118.21
5/18/2013,123.5
5/19/2013,123.21
5/20/2013,122.5
5/21/2013,122.02
5/22/2013,122.89
5/23/2013,123.8
5/24/2013,126.3
5/25/2013,133.1
5/26/2013,131.99
5/27/2013,133.5
5/28/2013,129.77
5/29/2013,129
5/30/2013,132.25
5/31/2013,128.8
6/1/2013,128.81
6/2/2013,129.3
6/3/2013,122.5
6/4/2013,120.74
6/5/2013,121.4
6/6/2013,121.9
6/7/2013,118.97
6/8/2013,111
6/9/2013,107.89
6/10/2013,100.44
6/11/2013,106.35
6/12/2013,109
6/13/2013,108.78
6/14/2013,103.95
6/15/2013,100
6/16/2013,99.8
6/17/2013,99.9
6/18/2013,101.95
6/19/2013,107.05
6/20/2013,108.25
6/21/2013,111.29
6/22/2013,109.5
6/23/2013,108.2
6/24/2013,107.9
6/25/2013,102.09
6/26/2013,103.33
6/27/2013,104
6/28/2013,101.74
6/29/2013,94.66
6/30/2013,95
7/1/2013,97.51
7/2/2013,88.05
7/3/2013,90.41
7/4/2013,78.89
7/5/2013,79.99
7/6/2013,68.5
7/7/2013,68.75
7/8/2013,76.5
7/9/2013,76
7/10/2013,76.72
7/11/2013,88
7/12/2013,88.98
7/13/2013,93.99
7/14/2013,98.7
7/15/2013,93.61
7/16/2013,98.89
7/17/2013,96.71
7/18/2013,98.5
7/19/2013,90.07
7/20/2013,92
7/21/2013,89.82
7/22/2013,92
7/23/2013,91.6
7/24/2013,95.56
7/25/2013,94.5
7/26/2013,96.95
7/27/2013,96.02
7/28/2013,94.4
7/29/2013,98.6
7/30/2013,101.49
7/31/2013,107.95
8/1/2013,106.21
8/2/2013,104.86
8/3/2013,104.5
8/4/2013,104.95
8/5/2013,105.12
8/6/2013,106.72
8/7/2013,106.75
8/8/2013,106.75
8/9/2013,103.07
8/10/2013,102.8
8/11/2013,103
8/12/2013,105
8/13/2013,106.99
8/14/2013,109.56
8/15/2013,112.56
8/16/2013,110
8/17/2013,108.99
8/18/2013,112.75
8/19/2013,113.38
8/20/2013,119
8/21/2013,121.21
8/22/2013,123.3
8/23/2013,122
8/24/2013,118.51
8/25/2013,119.6
8/26/2013,122.11
8/27/2013,120.07
8/28/2013,126.48
8/29/2013,122.62
8/30/2013,122.35
8/31/2013,133.09
9/1/2013,135.14
