State,College,Poverty
AK,27.7,11
AL,23.1,18.9
AR,20.6,18.7
AZ,27.1,17.6
CA,31,15.8
CO,37.5,13.2
CT,37,10.1
DC,53.4,18.8
DE,29.4,11.9
FL,26.8,16.5
GA,28.3,18
HI,30.5,11.1
IA,26.4,12.5
ID,25.4,15.8
IL,31.9,13.8
IN,23.6,15.3
KS,30.7,13.5
KY,21.8,18.9
LA,22.1,18.8
MA,40,11.4
MD,37.3,9.9
ME,28.4,13.1
MI,26.4,16.7
MN,33.2,11.5
MO,26.7,15.3
MS,20.4,22.4
MT,29.1,15.2
NC,27.8,17.4
ND,27.3,12.5
NE,29,12.6
NH,34.4,8.6
NJ,36.4,10.2
NM,26.1,19.8
NV,22.5,14.8
NY,33.7,15
OH,25.6,15.8
OK,23.8,16.8
OR,30.1,15.8
PA,28.1,13.4
RI,31.4,14.1
SC,25.3,18.1
SD,26.7,14.6
TN,24.4,17.8
TX,27.1,17.9
UT,30.6,13.3
VA,35.8,11.1
VT,35.2,12.4
WA,32.3,13.5
WI,27.4,13.2
WV,18.7,18.2
WY,25.1,11.4
